pkoakwood,oakwood_date
1250,1874-01-19
1251,1874-01-23
1252,1874-01-29
1253,1874-02-01
1254,1874-02-01
1255,1874-02-01
1256,1874-02-01
1257,1874-02-03
1258,1874-02-03
1259,1874-02-09
1260,1874-02-10
1261,1874-02-12
1262,1874-02-12
1263,1874-02-13
1264,1874-02-13
1265,1874-02-16
1266,1874-02-17
1267,1874-02-17
1268,1874-02-21
1269,1874-02-23
1270,1874-02-24
1271,1874-02-25
1272,1874-02-25
1273,1874-02-28
1274,1874-03-02
1275,1874-03-02
1276,1874-03-06
1277,1874-03-07
1278,1874-03-09
1279,1874-03-13
1280,1874-03-13
1281,1874-03-15
1282,1874-03-15
1283,1874-03-17
1284,1874-03-20
1285,1874-03-17
1286,1874-03-20
1287,1874-03-22
1288,1874-03-24
1289,1874-03-25
1290,1874-03-26
1291,1874-03-26
1292,1874-03-29
1293,1874-04-02
1294,1874-04-03
1295,1874-04-06
1296,1874-04-06
1297,1874-04-07
1298,1874-04-08
1299,1874-04-10
1300,1874-04-11
1301,1874-04-13
1302,1874-04-13
1303,1874-04-17
1304,1874-04-17
1305,1874-04-18
1306,1874-04-18
1307,1874-04-20
1308,1874-04-21
1309,1874-04-27
1310,1874-04-27
1311,1874-04-30
1312,1874-05-03
1313,1874-05-05
1314,1874-05-06
1315,1874-05-06
1316,1874-05-12
1317,1874-05-12
1318,1874-05-12
1319,1874-05-16
1320,1874-05-16
1321,1874-05-16
1322,1874-05-18
1323,1874-05-19
1324,1874-05-22
1325,1874-05-23
1326,1874-05-24
1327,1874-05-26
1328,1874-06-02
1329,1874-06-04
1330,1874-06-05
1331,1874-06-05
1332,1874-06-08
1333,1874-06-08
1334,1874-06-09
1335,1874-06-09
1336,1874-06-11
1337,1874-06-11
1338,1874-06-16
1339,1874-06-16
1340,1874-06-16
1341,1874-06-21
1342,1874-06-21
1343,1874-06-25
1344,1874-06-27
1345,1874-06-28
1346,1874-06-28
1347,1874-06-29
1348,1874-06-29
1349,1874-06-29
1350,1874-07-02
1351,1874-07-03
1352,1874-07-07
1353,1874-07-08
1354,1874-07-13
1355,1874-07-13
1356,1874-07-15
1357,1874-07-15
1358,1874-07-15
1359,1874-07-15
1360,1874-07-16
1361,1874-07-16
1362,1874-07-17
1363,1874-07-17
1364,1874-07-19
1365,1874-07-19
1366,1874-07-20
1367,1874-07-22
1368,1874-07-25
1369,1874-07-28
1370,1874-08-01
1371,1874-08-06
1372,1874-08-06
1373,1874-08-06
1374,1874-08-07
1375,1874-08-12
1376,1874-08-12
1377,1874-08-14
1378,1874-08-15
1379,1874-08-15
1380,1874-08-17
1381,1874-08-17
1382,1874-08-18
1383,1874-08-20
1384,1874-08-20
1385,1874-08-22
1386,1874-08-23
1387,1874-08-26
1388,1874-08-28
1389,1874-08-28
1390,1874-08-31
1391,1874-08-31
1392,1874-09-01
1393,1874-09-02
1394,1874-09-03
1395,1874-09-03
1396,1874-09-05
1397,1874-09-06
1398,1874-09-08
1399,1874-09-10
1400,1874-09-17
1401,1874-09-19
1402,1874-09-20
1403,1874-09-22
1404,1874-09-24
1405,1874-09-27
1406,1874-10-03
1407,1874-10-03
1408,1874-10-04
1409,1874-10-05
1410,1874-10-05
1411,1874-10-07
1412,1874-10-07
1413,1874-10-09
1414,1874-10-09
1415,1874-10-09
1416,1874-10-12
1417,1874-10-14
1418,1874-10-12
1419,1874-10-19
1420,1874-10-20
1421,1874-10-21
1422,1874-10-21
1423,1874-10-22
1424,1874-10-23
1425,1874-10-23
1426,1874-10-25
1427,1874-10-25
1428,1874-10-25
1429,1874-10-27
1430,1874-10-27
1431,1874-10-29
1432,1874-10-29
1433,1874-10-30
1434,1874-10-31
1435,1874-11-01
1436,1874-11-04
1437,1874-11-04
1438,1874-11-06
1439,1874-11-09
1440,1874-11-09
1441,1874-11-13
1442,1874-11-14
1443,1874-11-15
1444,1874-11-14
1445,1874-11-16
1446,1874-11-19
1447,1874-11-19
1448,1874-11-19
1449,1874-11-20
1450,1874-11-20
1451,1874-11-20
1452,1874-11-21
1453,1874-11-23
1454,1874-11-26
1455,1874-11-28
1456,1874-11-30
1457,1874-12-04
1458,1874-12-04
1459,1874-12-05
1460,1874-12-10
1461,1874-12-17
1462,1874-12-20
1463,1874-12-21
1464,1874-12-21
1465,1874-12-25
1466,1875-01-01
1467,1875-01-06
1468,1875-01-06
1469,1875-01-10
1470,1875-01-11
1471,1875-01-11
1472,1875-01-13
1473,1875-01-18
1474,1875-01-20
1475,1875-01-20
1476,1875-01-22
1477,1875-01-22
1478,1875-01-26
1479,1875-01-26
1480,1875-01-31
1481,1875-01-30
1482,1875-02-01
1483,1875-02-01
1484,1875-02-04
1485,1875-02-05
1486,1875-02-06
1487,1875-02-08
1488,1875-02-09
1489,1875-02-11
1490,1875-02-14
1491,1875-02-14
1492,1875-02-14
1493,1875-02-15
1494,1875-02-16
1495,1875-02-19
